,ID,latitude,longitude,victims,deadly_victims
0,8000001720,0.0,0.0,0,0
1,8146602119,0.0,0.0,0,0
2,8146604419,0.0,0.0,0,0
3,8112538919,0.0,0.0,0,0
4,8109426919,0.0,0.0,0,0
5,8077330119,0.0,0.0,0,0
6,8129202018,0.0,0.0,0,0
7,8129200818,0.0,0.0,0,0
8,8058324118,0.0,0.0,0,0
9,8040606518,0.0,0.0,0,0
10,8094575217,-8.0539034,-34.88400160000003,0,0
11,8070311517,-8.0375561,-34.89852380000002,0,0
12,8045936517,-8.0372529,-34.893943000000036,0,0
13,8045912917,-8.0372529,-34.893943000000036,0,0
14,8038156817,-8.0372694,-34.8984006,0,0
15,8012686017,-8.0373731,-34.89710009999999,0,0
16,8046976216,0.0,0.0,0,0
17,8021489016,-8.0578381,-34.88289689999999,0,0
18,8018516016,-8.0578381,-34.88289689999999,0,0
19,8017416216,-8.0347776,-34.897071600000004,0,0
20,8018956016,-8.0578381,-34.88289689999999,0,0
21,8003598616,-8.054025099999999,-34.882355299999965,0,0
22,8037555015,-8.0578381,-34.88289689999999,0,0
23,8038244815,-8.0490519,-34.89650069999999,0,0
24,8028708115,-8.039204,-34.89548000000002,0,0
25,8027096215,-8.063514699999999,-34.8730271,0,0
26,8026912015,-8.0330393,-34.913504200000034,0,0
27,8027226315,-8.053939699999999,-34.88402450000001,0,0
28,8001316515,-8.0397908,-34.896209000000006,0,0
29,8017835914,0.0,0.0,0,0
30,8016504914,-8.0397908,-34.896209000000006,0,0
31,8013839014,-8.0397908,-34.896209000000006,0,0
32,8012453014,-8.0397908,-34.896209000000006,0,0
33,8012391514,0.0,0.0,1,0
34,8007250013,-8.0397908,-34.896209000000006,0,0
35,8004255212,-8.0396307,-34.899167299,0,0
36,8001965713,-8.0406212,-34.898038299999996,0,0
37,8008209512,-8.0397908,-34.896209000000006,0,0
38,8150647619,0.0,0.0,0,0
39,8095738919,0.0,0.0,0,0
40,8101831119,0.0,0.0,0,0
41,8083201519,0.0,0.0,0,0
