,situation,risk,latitude,longitude,victims,deadly_victims,length,num_points,in_place,Rain,sliding
84,1,0,0.0,0.0,0,0,0,0,0,3.2,1
85,1,0,-8.078465999999999,-34.910337000000034,0,0,0,0,0,9.1,1
86,1,0,-8.0840309,-34.91400699999997,0,0,0,0,0,1.0,1
87,1,0,-8.002924499999999,-34.87260170000002,0,0,0,0,0,1.0,1
88,1,0,-8.0747795,-34.90847989999997,0,0,0,0,0,0.2,1
89,1,0,-8.0753495,-34.907899499999985,0,0,0,0,0,0.3,1
90,1,0,-8.1776056,-34.92024090000001,0,0,0,0,0,0.0,1
91,1,0,-8.0712022,-34.911357899999985,0,0,0,0,0,0.0,1
92,1,0,-8.0814395,-34.916889800000035,0,0,0,0,0,0.0,1
93,1,0,-8.0829535,-34.91720810000004,0,0,0,0,0,0.0,1
94,1,0,0.0,0.0,0,0,0,0,0,1.1,1
95,1,0,-8.0728255,-34.91154080000001,0,0,0,0,0,0.0,1
96,1,0,-8.0728255,-34.91154080000001,0,0,0,0,0,0.0,1
97,1,0,-8.054906899999999,-34.89547640000001,0,0,0,0,0,0.0,1
98,1,0,-8.075841,-34.90613450000001,0,0,0,0,0,0.8,1
99,1,0,-8.0668717,-34.909038899999985,0,0,0,0,0,1.7,1
100,1,0,-8.068802400000001,-34.91297739999999,0,0,0,0,0,0.0,1
101,1,0,-8.075687299999998,-34.91435039999999,0,0,0,0,0,0.0,1
102,1,0,-8.0814598,-34.918521500000004,0,0,0,0,0,0.0,1
103,1,0,-8.0845065,-34.91285089999997,0,0,0,0,0,1.4,1
104,1,0,-8.0691554,-34.9125085,0,0,0,0,0,8.5,1
105,1,0,-8.079552099999999,-34.904347099999995,0,0,0,0,0,8.5,1
106,1,0,-8.070585399999999,-34.91106990000004,0,0,0,0,0,0.2,1
107,1,0,-8.0704769,-34.91130939999999,0,0,0,0,0,5.4,1
108,1,0,-8.0642624,-34.9110374,0,0,0,0,0,2.0,1
109,1,0,-8.074138999999999,-34.91727850000001,0,0,0,0,0,30.2,1
110,1,0,-8.0704069,-34.912431500000025,0,0,0,0,0,6.2,1
111,1,0,-8.069688900000001,-34.90834799999999,0,0,0,0,0,4.6,1
112,1,0,-8.0825406,-34.91216099999997,0,0,0,0,0,6.2,1
113,1,0,-8.0691662,-34.909557500000005,0,0,0,0,0,8.0,1
114,1,0,-8.0196509,-34.91680759999997,0,0,0,0,0,20.9,1
115,1,0,-8.0665171,-34.908183699999995,0,0,0,0,0,5.2,1
116,1,0,-8.0812686,-34.91459700000001,0,0,0,0,0,0.0,1
117,1,0,-8.082558500000001,-34.91964919999998,0,0,0,0,0,0.0,1
118,1,0,-8.019934899999999,-34.98294599999997,0,0,0,0,0,11.4,1
119,1,0,-8.0802835,-34.91079460000003,0,0,0,0,0,11.0,1
120,1,0,-8.068540200000001,-34.912296399999995,0,0,0,0,0,0.0,1
121,1,0,-8.071735499999999,-34.90803059999996,0,0,0,0,0,0.0,1
122,1,0,-8.0803586,-34.906836,0,0,0,0,0,0.0,1
123,1,0,-8.0578381,-34.88289689999999,0,0,0,0,0,0.0,1
124,1,0,-8.0816129,-34.91134279999999,0,0,0,0,0,0.0,1
125,1,0,-8.0748195,-34.92025860000001,0,0,0,0,0,17.9,1
126,1,0,-8.0749075,-34.90621390000001,0,0,0,0,0,0.0,1
127,1,0,-8.0684757,-34.907844700000005,0,0,0,0,0,0.7,1
128,1,0,-8.071087799999999,-34.9085546,0,0,0,0,0,6.3,1
129,1,0,-8.0281304,-34.93792350000001,0,0,0,0,0,2.5,1
130,1,0,-8.0816129,-34.91134279999999,0,0,0,0,0,0.0,1
131,1,0,-8.0799377,-34.9066684,0,0,0,0,0,35.5,1
132,1,0,-8.0770584,-34.91315650000001,0,0,0,0,0,0.0,1
133,1,0,-8.0714708,-34.913193500000034,0,0,0,0,0,0.0,1
134,1,0,-8.0785508,-34.91039560000001,0,0,0,0,0,32.8,1
135,1,0,-8.0665143,-34.908202299999964,0,0,0,0,0,0.0,1
136,1,0,-8.082621699999999,-34.91449399999999,0,0,0,0,0,6.1,1
137,1,0,-8.082621699999999,-34.91449399999999,0,0,0,0,0,6.1,1
138,1,0,-8.0825432,-34.91275789999997,0,0,0,0,0,38.1,1
139,1,0,-8.082621699999999,-34.91449399999999,0,0,0,0,0,18.2,1
140,1,0,-8.082621699999999,-34.91449399999999,0,0,0,0,0,18.2,1
141,1,0,-8.08195386807267,-34.9127361000248,0,0,0,0,0,2.3,1
142,1,0,-8.079152983386349,-34.9111206000246,0,0,0,0,0,1.6,1
143,1,0,-8.079152983386349,-34.9111206000246,0,0,0,0,0,6.8,1
144,1,0,-8.0578342311321,-34.8828969000217,0,0,0,0,0,0.0,1
145,1,0,0.0,0.0,0,0,0,0,0,26.3,1
146,1,0,-8.07794896874905,-34.9128845000248,0,0,0,0,0,22.6,1
