Código,Posto,Mês/Ano,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
265,Recife (Alto da Brasileira),mar/2016,"0,0","0,0","0,3","5,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","19,5","10,0","10,3","0,0",-,-,"0,0","0,0","3,5","7,0","9,4","0,0","0,1",-,"16,7","31,2","0,0","13419,7"
196,Recife (Codecipe / Santo Amaro),mar/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),mar/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),mar/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),mar/2016,"0,0","0,0","8,4","45,8","0,0","0,2","0,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","19,8","8,0","52,0","0,0","4,0","0,0","0,0","13,0","11,4","0,0","13,2","2,2","0,0","0,7","0,0","65,2","0,0","15807,2"
480,Recife - PCD,mar/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),abr/2016,"3,1","3,7","0,0","0,0","0,0","5,4","0,0","2,8","0,0","0,0","4,5","15,5","0,0","35,5","0,0","115,2","112,9","6,1","0,0","1,7","1,7","0,0","0,0","0,0","0,0","5,5","0,0","0,0","0,0","1,0",-,"13419,7"
196,Recife (Codecipe / Santo Amaro),abr/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),abr/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),abr/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),abr/2016,"13,0","1,0","0,0","3,8","0,0","8,5","0,6","0,0","0,8","0,0","35,2","6,5","2,4","11,0","0,0","101,8","58,0","17,2","3,0","0,0","0,0","1,4","0,0","0,0","6,2","11,4","0,0","3,4","1,0","5,4",-,"15807,2"
480,Recife - PCD,abr/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),mai/2016,"5,5","48,4","2,5",-,"1,5","4,9","0,0","0,8","37,3","112,4","7,7","6,3","0,0","0,0","0,0","0,0","3,7","0,0","0,0","0,0","0,0","0,0","0,0","5,0","27,9","16,1","0,6","0,0","0,3","82,3","1,6","13419,7"
196,Recife (Codecipe / Santo Amaro),mai/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),mai/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),mai/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),mai/2016,"2,9","60,6","4,8","1,0","1,2","23,4","0,9","0,8","54,1","102,1","14,0","0,8","0,0","0,0","0,0","0,8","13,8","0,6","0,8","0,0","0,0","0,0","0,0","10,2","39,8","8,4","1,2","0,0","3,8","119,8","13,0","15807,2"
480,Recife - PCD,mai/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
265,Recife (Alto da Brasileira),jun/2016,"0,7","0,0","4,3","43,3","14,5","1,9","0,6","0,0","0,0","0,0","0,0","0,0","2,0","15,4","0,0","0,0","0,0","0,0","0,0","2,6","1,6","17,3","10,8","2,1","0,0","0,0","4,9","18,8","0,0","0,0",-,"13419,7"
196,Recife (Codecipe / Santo Amaro),jun/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5055,8"
344,Recife (Lamepe/Itep),jun/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1611,6"
378,Recife (Santo Amaro),jun/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1998,8"
30,Recife (Várzea),jun/2016,-,"0,0","10,4","36,0","14,8","4,6","1,8","0,2","0,0","0,0","0,0","0,0","2,0","11,0","2,5","0,0","0,0","0,0","1,6","1,8","0,4","16,6","7,6","11,2","0,0","2,4","6,8","14,2","0,2","0,6",-,"15807,2"
480,Recife - PCD,jun/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1418,8"
