,ID,event
0,8155845218,0
1,8155698018,1
2,8155361518,0
3,8155337718,0
4,8155296918,0
5,8155134918,0
6,8152998019,0
7,8152978019,0
8,8152840819,0
9,8152791918,0
10,8152784019,0
11,8152762719,0
12,8152748618,0
13,8152743418,0
14,8152743219,0
15,8152740319,0
16,8152738919,0
17,8152736619,0
18,8152734319,0
19,8152730819,0
20,8152730819,0
21,8152725419,0
22,8152720219,0
23,8152715919,1
24,8152711518,0
25,8152711319,1
26,8152691418,0
27,8152687519,0
28,8152618319,0
29,8152603818,0
30,8152591018,0
31,8152545619,0
32,8152541019,0
33,8152512019,0
34,8152494219,0
35,8152465418,0
36,8152464619,1
37,8152447618,0
38,8152427319,0
39,8152422119,0
40,8152381518,1
41,8152379919,0
42,8152346319,1
43,8152335119,1
44,8152335119,0
45,8152332219,0
46,8152314419,0
47,8152295118,0
48,8152173119,0
49,8152170219,0
50,8152058819,0
51,8152025219,0
52,8152006018,0
53,8152005119,0
54,8151997019,0
55,8151996618,0
56,8151993718,0
57,8151982319,0
58,8151976518,0
59,8151968218,0
60,8151948019,0
61,8151923719,0
62,8151887218,0
63,8151877718,1
64,8151877718,0
65,8151849119,0
66,8151844118,0
67,8151832119,0
68,8151822818,0
69,8151819519,0
70,8151815118,0
71,8151811618,0
72,8151797318,0
73,8151793818,0
74,8151786118,0
75,8151706619,1
76,8151661219,0
77,8151659819,0
78,8151645719,0
79,8151614419,0
80,8151590819,1
81,8151588319,0
82,8151586019,0
83,8151549819,0
84,8151493219,0
85,8151463619,0
86,8151461518,0
87,8151384018,0
88,8151363119,0
89,8151329018,0
90,8151322319,0
91,8151320019,0
92,8151229518,0
93,8151222018,0
94,8151192219,0
95,8151164018,0
96,8151115018,0
97,8151108119,0
98,8151061718,0
99,8151055519,0
100,8151050518,0
101,8151043719,0
102,8151009518,0
103,8150931619,0
104,8150907819,0
105,8150902619,0
106,8150894518,0
107,8150875919,0
108,8150811218,1
109,8150804419,0
110,8150803018,1
111,8150793219,0
112,8150776218,0
113,8150726319,0
114,8150718019,0
115,8150708519,0
116,8150663119,0
117,8150647619,0
118,8150645319,0
119,8150579019,0
120,8150528918,0
121,8150527019,0
122,8150522018,0
123,8150493919,0
124,8150485619,0
125,8150381619,0
126,8150360919,0
127,8150341419,0
128,8150313019,1
129,8150313019,0
130,8150300619,0
131,8150298318,0
132,8150290019,0
133,8150273018,0
134,8150273018,1
135,8150264118,1
136,8150264118,0
137,8150233918,0
138,8150210719,0
139,8150197019,0
140,8150190818,0
141,8150139218,0
142,8150083519,0
143,8150055119,1
144,8149965819,0
145,8149954619,0
146,8149861819,0
147,8149723419,0
148,8149664018,0
149,8149659618,0
150,8149603018,0
151,8149600019,0
152,8149584419,1
153,8149582119,0
154,8149550219,0
155,8149544219,0
156,8149531819,0
157,8149446019,0
158,8149327119,0
159,8149294619,0
160,8149244919,0
161,8149241019,1
162,8149171119,0
163,8149159119,0
164,8149144419,0
165,8149140919,0
166,8149129519,0
167,8149110219,0
168,8149088719,0
169,8149040419,0
170,8149037319,0
171,8149033819,0
172,8149022619,0
173,8149010819,0
174,8149008319,0
175,8148995218,0
176,8148993018,0
177,8148986119,0
178,8148982619,0
179,8148980319,0
180,8148957318,0
181,8148957318,0
182,8148930619,0
183,8148907419,0
184,8148887518,0
185,8148887518,0
186,8148883819,0
187,8148878419,0
188,8148875718,0
189,8148846718,0
190,8148846718,1
191,8148837818,0
192,8148826618,0
193,8148810218,0
194,8148800718,0
195,8148800519,0
196,8148797618,0
197,8148789318,0
198,8148704818,0
