,risk,ID
0,3,8008472812
1,2,8008985512
2,4,8008835312
3,4,8006628012
4,0,8008455612
5,3,8008759512
6,0,8008710612
7,0,8005178112
8,2,8008124012
9,0,8008198312
10,0,8008558012
11,3,8006960512
12,0,8009072312
13,3,8009040412
14,3,8008663812
15,2,8006043212
16,0,8007253012
17,1,8009041012
18,2,8009125012
19,0,8006266112
20,3,8006247712
21,3,8006217012
22,3,8008970812
23,3,8008774412
24,4,8005193012
25,3,8009049112
26,3,8007890012
27,2,8009122012
28,3,8008747712
29,2,8007875112
30,3,8009124312
31,0,8008681612
32,0,8007021212
33,3,8008755012
34,3,8008695712
35,2,8008559612
36,2,8006087012
37,0,8006222412
38,3,8007497712
39,4,8008404212
40,3,8007917612
41,0,8006289112
42,0,8007333412
43,0,8008439012
44,0,8008174712
45,0,8007749612
46,3,8008249712
47,3,8005480012
48,0,8007776312
49,2,8008441512
50,0,8007097912
51,0,8007975612
52,0,8008565612
53,0,8008149212
54,0,8008338012
55,3,8008652612
56,3,8007916012
57,3,8008590012
58,3,8007141812
59,3,8006949112
60,2,8008394712
61,3,8007937712
62,3,8008287612
63,4,8007988012
64,0,8006735112
65,4,8008244512
66,3,8008063012
67,3,8008090812
68,2,8008093712
69,3,8007094012
70,3,8008510712
71,1,8008552112
72,1,8008092012
73,1,8006681912
74,3,8006763512
75,3,8006248312
76,4,8007719012
77,3,8007818812
78,4,8008523112
79,1,8007798712
80,3,8007934812
81,0,8008256312
82,0,8007726612
83,3,8007498312
84,0,8008157512
85,2,8007280812
86,2,8008285312
87,3,8005233212
88,2,8008608712
89,2,8007879712
90,3,8007851512
91,0,8007170812
92,0,8008044612
93,3,8007951012
94,2,8006954512
95,3,8007889212
96,4,8008096612
97,0,8006809512
98,0,8008571612
99,0,8007976212
100,3,8006811012
101,2,8006174012
102,0,8008391812
103,4,8007888612
104,0,8008176012
105,3,8007459812
106,3,8006969212
107,0,8007129812
108,2,8008106112
109,0,8008006712
110,2,8008239112
111,0,8008200812
112,0,8008554412
113,2,8006214112
114,3,8006956812
115,4,8005843512
116,2,8007873912
117,3,8006340712
118,3,8007254712
119,0,8007317912
120,2,8005839812
121,0,8006781312
122,4,8005222012
123,2,8006146612
124,2,8007369912
125,0,8007231712
126,2,8006967012
127,3,8007963812
128,0,8005554312
129,4,8007540012
130,1,8007852112
131,3,8007596512
132,0,8006413412
133,0,8006768712
134,0,8007337012
135,2,8005691012
136,3,8005845812
137,4,8007195012
138,0,8006754612
139,3,8006229912
140,0,8006765812
141,3,8007760012
142,3,8005476212
143,0,8007019812
144,3,8006675912
145,2,8007455212
146,0,8007020612
147,3,8005939212
148,0,8006006012
149,3,8007499012
150,2,8005355012
151,2,8007913012
152,3,8007967312
153,0,8005232612
154,0,8007022912
155,3,8007930212
156,0,8006679412
157,4,8006017112
158,1,8007173712
159,4,8007782312
160,0,8005893212
161,3,8007694712
162,2,8005561012
163,2,8005266812
164,2,8007578712
165,0,8006461912
166,3,8007332812
167,0,8005454912
168,2,8007854412
169,2,8007936012
170,0,8005977112
171,3,8005852412
172,0,8005291212
173,3,8006164412
174,0,8006425212
175,2,8007371312
176,3,8007179512
177,4,8005438312
178,4,8006445312
179,3,8006481012
180,0,8006764112
181,3,8005388612
182,3,8006121312
183,1,8006464812
184,3,8005334312
185,4,8005357312
186,3,8006810312
187,3,8006167312
188,3,8006024812
189,3,8005844112
190,4,8005458412
191,2,8007176612
192,4,8006808912
193,2,8007056012
194,2,8006390412
195,3,8006374912
196,3,8006180012
197,0,8006191112
198,2,8006462512
199,0,8006246012
200,3,8006292212
201,4,8005364012
202,4,8005325412
203,2,8006740512
204,0,8005960112
205,3,8006444712
206,2,8006033712
207,3,8006254312
208,3,8005436012
209,3,8005365612
210,2,8006741112
211,3,8005440812
212,3,8005673212
213,3,8006682512
214,3,8005370012
215,4,8005867112
216,2,8006743412
217,2,8006350212
218,1,8006520512
219,1,8005269712
220,4,8005385712
221,3,8006685412
222,0,8006299712
223,0,8006683112
224,3,8006170412
225,0,8005959312
226,3,8005441412
227,3,8005739312
228,2,8007168312
229,3,8005400612
230,3,8006812612
231,3,8005525312
232,3,8005367912
233,4,8006176212
234,3,8005799612
235,0,8006770112
236,3,8006950012
237,2,8007228612
238,3,8006291612
239,1,8005929712
240,2,8006792512
241,3,8005772012
242,2,8006389612
243,1,8005732912
244,3,8006158412
245,3,8007346912
246,3,8006442412
247,3,8007354112
248,0,8005869412
249,4,8006305712
250,0,8006955112
251,2,8006346512
252,4,8005483912
253,3,8005435412
254,2,8007032412
255,4,8005863612
256,2,8006328712
257,3,8005505212
258,3,8005361012
259,4,8005239012
260,3,8005320212
261,2,8005407012
262,2,8006177912
263,2,8006175612
264,3,8005496312
265,0,8005868812
266,2,8005564912
267,0,8005788412
268,3,8005373912
269,3,8006207512
270,4,8005777212
271,3,8006050912
272,0,8005569012
273,2,8006243112
274,2,8006007612
275,2,8006288512
276,2,8005474012
277,0,8005442012
278,2,8005563212
279,3,8006183912
280,0,8006148912
281,3,8006036612
282,4,8005933412
283,3,8006194012
284,2,8005565512
285,3,8005631812
286,4,8005871912
287,3,8005377412
288,3,8005571512
289,3,8005817412
290,3,8005838112
291,0,8005506912
292,2,8005235512
293,2,8005485112
294,2,8005481612
295,2,8005437712
296,0,8005636012
297,2,8006008212
298,3,8006053812
299,0,8005478512
300,1,8005931112
301,3,8005578012
302,3,8005574412
303,2,8005955812
304,3,8005629312
305,2,8005527612
306,3,8005540212
307,0,8005952912
308,3,8005336612
